strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M15,21,70,30,touch,1.5,4.0,100,0.3,30.26,288,17.71,0.8718,40.7,-29.64,20,10.0,0.4444,10.55,-9.74,-0.4274,-30.15,19.9,93.06,30.47,1470,19.59,0.9897,72.32,-33.17,124,22.58,1.1667,17.28,14.26,0.177,-55.04,47.43,91.56
rsi_low_vol,M5,21,70,30,cross,1.5,3.0,200,0.2,29.49,835,23.83,0.9387,71.28,-39.94,68,19.12,0.7091,26.16,-15.51,-0.2296,-45.12,24.43,91.86,27.25,3985,24.47,0.974,82.03,-74.37,321,27.73,1.1509,21.57,34.86,0.1769,-60.46,109.23,91.94
rsi_low_vol,M1,14,80,20,cross,1.5,2.0,100,0.2,32.52,1397,35.15,1.0875,30.77,91.1,78,39.74,1.3191,7.78,15.2,0.2316,-22.99,-75.9,94.42,34.08,6604,35.54,1.1115,46.61,5549.76,595,39.16,1.2873,24.69,165.33,0.1758,-21.92,-5384.43,90.99
rsi_low_vol,M1,21,80,30,cross,1.5,4.0,100,0.3,40.4,2062,18.19,0.9542,83.74,-66.42,219,18.72,0.9318,25.74,-14.85,-0.0224,-58.0,51.57,89.38,41.84,10492,19.14,1.0104,93.85,-67.86,1671,22.14,1.184,48.73,601.99,0.1736,-45.12,669.85,84.07
rsi_low_vol,M15,14,80,30,cross,1.5,2.0,200,0.2,21.04,362,35.64,1.1121,23.35,24.96,27,29.63,0.8421,9.67,-3.2,-0.27,-13.68,-28.16,92.54,21.32,1901,33.67,1.0151,64.51,0.02,153,37.25,1.1875,14.15,17.81,0.1724,-50.36,17.79,91.95
rsi_low_vol,M1,21,70,30,cross,1.5,2.0,50,0.2,33.05,4028,34.51,1.0603,44.78,223.38,225,38.67,1.2609,24.2,39.92,0.2006,-20.58,-183.46,94.41,34.33,19615,35.46,1.1069,50.9,9152735.83,1998,38.94,1.2786,21.9,2293.13,0.1717,-29.0,-9150442.7,89.81
rsi_low_vol,M1,21,80,30,cross,1.5,3.0,50,0.3,40.91,2062,24.98,1.0369,49.7,28.12,155,22.58,0.8824,29.82,-14.91,-0.1545,-19.88,-43.03,92.48,42.16,10492,25.97,1.0848,63.1,12153.6,1359,29.14,1.2558,31.75,800.4,0.171,-31.35,-11353.2,87.05
rsi_low_vol,M1,21,80,30,cross,1.5,3.0,50,0.2,33.05,2062,24.98,1.0369,49.7,28.12,104,25.96,1.0519,18.35,2.45,0.015,-31.35,-25.67,94.96,34.33,10492,25.97,1.0848,63.1,12153.6,926,29.16,1.2558,33.89,347.46,0.171,-29.21,-11806.14,91.17
rsi_low_vol,M1,14,70,20,cross,1.5,4.0,100,0.2,32.52,5822,19.1,1.0011,97.71,-64.66,970,20.41,1.0602,71.07,29.45,0.0591,-26.64,94.11,83.34,34.08,28035,19.94,1.0458,88.77,7793.2,5718,22.7,1.2165,50.76,302093.38,0.1707,-38.01,294300.18,79.6
rsi_low_vol,M15,21,70,30,touch,1.5,2.0,100,0.3,30.26,288,31.94,0.9436,28.08,-12.89,20,15.0,0.3529,10.55,-10.55,-0.5907,-17.53,2.34,93.06,30.47,1470,33.54,1.0092,36.93,-5.49,124,37.1,1.1795,13.15,13.54,0.1703,-23.78,19.03,91.56
rsi_low_vol,M5,14,80,20,cross,1.5,3.0,200,0.3,40.13,221,19.91,0.7458,50.43,-38.02,38,21.05,0.8,12.35,-6.3,0.0542,-38.08,31.72,82.81,38.31,1230,24.8,0.9956,45.49,-19.81,211,27.96,1.1645,16.05,24.15,0.1689,-29.44,43.96,82.85
rsi_low_vol,M1,21,70,30,cross,1.5,3.0,50,0.3,40.91,4028,25.22,1.0456,73.72,108.55,346,27.46,1.1446,27.33,35.74,0.099,-46.39,-72.81,91.41,42.16,19615,26.15,1.0909,54.24,1889144.3,2863,29.24,1.2586,30.86,10788.56,0.1677,-23.38,-1878355.74,85.4
rsi_low_vol,M1,21,80,30,cross,1.5,4.0,50,0.3,40.91,2062,18.19,0.9542,83.74,-66.42,155,16.77,0.8189,38.39,-22.64,-0.1353,-45.35,43.78,92.48,42.16,10492,19.14,1.0104,93.85,-67.86,1359,21.93,1.1779,35.01,355.78,0.1675,-58.84,423.64,87.05
rsi_low_vol,M1,21,80,30,cross,1.5,4.0,50,0.2,33.05,2062,18.19,0.9542,83.74,-66.42,104,18.27,0.9048,24.75,-9.43,-0.0494,-58.99,56.99,94.96,34.33,10492,19.14,1.0104,93.85,-67.86,926,21.81,1.1761,45.83,176.77,0.1657,-48.02,244.63,91.17
rsi_low_vol,M5,14,80,30,cross,1.5,2.0,200,0.2,29.49,1022,32.09,0.9452,58.3,-38.1,139,44.6,1.6104,6.79,57.44,0.6652,-51.51,95.54,86.4,27.25,5326,33.25,0.9966,82.61,-47.71,795,36.73,1.161,22.33,106.9,0.1644,-60.28,154.61,85.07
