strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,4.0,200,0.7,38.83,4559,18.84,0.9289,99.03,-96.94,1689,19.72,0.9823,73.97,-43.32,0.0534,-25.06,53.62,62.95,38.53,22101,19.74,0.9837,99.97,-99.92,8247,20.57,1.0359,91.42,101.11,0.0522,-8.55,201.03,62.68
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,3.0,50,0.7,40.26,1083,25.85,1.0461,49.4,22.88,446,29.15,1.2342,21.48,94.79,0.1881,-27.92,71.91,58.82,40.18,5262,24.71,0.9846,86.76,-74.92,2251,25.68,1.0365,43.91,31.1,0.0519,-42.85,106.02,57.22
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,4.0,100,0.8,29.19,4603,18.75,0.9255,98.75,-97.38,1257,19.97,1.004,59.78,-18.61,0.0785,-38.97,78.77,72.69,28.11,22202,18.99,0.941,100.0,-100.0,6045,19.75,0.9929,87.32,-77.97,0.0519,-12.68,22.03,72.77
derivative_high_vol,M5,20,4,2,0.05,0.0,1.5,3.0,100,0.8,29.19,5075,24.06,0.9509,97.48,-92.74,1393,25.2,1.0106,40.65,-9.27,0.0597,-56.83,83.47,72.55,28.11,24560,24.11,0.9542,100.0,-100.0,6695,25.05,1.0058,78.44,-50.42,0.0516,-21.56,49.58,72.74
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,4.0,100,0.8,29.19,5075,19.33,0.9587,98.48,-93.01,1393,20.24,1.0153,58.23,-10.03,0.0566,-40.25,82.98,72.55,28.11,24560,19.42,0.964,100.0,-100.0,6695,20.24,1.0154,87.68,-39.63,0.0514,-12.32,60.37,72.74
derivative_high_vol,M15,20,4,2,0.05,0.0,1.0,2.0,100,0.8,19.25,1590,35.03,1.0784,32.17,91.18,293,34.81,1.0681,16.06,10.55,-0.0103,-16.11,-80.63,81.57,18.66,7910,33.25,0.9964,89.82,-62.27,1406,34.35,1.0477,45.15,34.75,0.0513,-44.67,97.02,82.23
derivative_high_vol,M15,20,8,2,0.1,0.0,1.0,3.0,100,0.7,29.07,1117,26.59,1.0866,33.82,71.2,311,28.3,1.1839,24.4,43.33,0.0973,-9.42,-27.87,72.16,28.95,5490,24.63,0.9804,91.46,-80.11,1572,25.57,1.0317,41.1,14.32,0.0513,-50.36,94.43,71.37
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,3.0,50,0.8,28.57,3353,25.02,1.0012,82.65,-37.29,944,25.64,1.0342,34.32,10.28,0.033,-48.33,47.57,71.85,28.48,16280,24.32,0.9643,99.95,-99.88,4702,25.29,1.0154,82.28,-14.91,0.0511,-17.67,84.97,71.12
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,2.0,100,0.8,29.19,4603,31.7,0.9284,96.58,-93.25,1257,33.09,0.9893,31.92,-19.3,0.0609,-64.66,73.95,72.69,28.11,22202,32.13,0.9467,100.0,-100.0,6045,33.28,0.9978,69.98,-49.85,0.0511,-30.02,50.15,72.77
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,4.0,50,0.7,40.26,1083,20.5,1.0314,47.01,5.51,446,23.32,1.2164,22.83,89.98,0.185,-24.18,84.47,58.82,40.18,5262,19.9,0.9945,92.94,-71.57,2251,20.7,1.0454,47.95,42.92,0.0509,-44.99,114.49,57.22
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,4.0,50,0.7,34.8,3366,19.22,0.9518,95.46,-85.79,1160,19.83,0.9892,53.49,-27.82,0.0374,-41.97,57.97,65.54,34.52,16310,19.52,0.9701,99.95,-99.91,5620,20.32,1.0206,83.61,-17.74,0.0505,-16.34,82.17,65.54
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,50,0.7,34.8,3529,19.18,0.9495,96.27,-87.89,1217,19.97,0.9979,50.59,-22.77,0.0484,-45.68,65.12,65.51,34.52,17192,19.64,0.9776,99.92,-99.84,5896,20.44,1.0279,80.58,14.45,0.0503,-19.34,114.29,65.7
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,4.0,50,0.7,34.8,3353,19.5,0.9692,93.9,-77.13,1144,21.24,1.0788,42.72,60.85,0.1096,-51.18,137.98,65.88,34.52,16280,19.41,0.9636,99.98,-99.96,5610,20.21,1.0139,89.54,-38.67,0.0503,-10.44,61.29,65.54
derivative_high_vol,M5,20,8,4,0.1,0.0,1.5,3.0,50,0.8,28.57,3353,24.43,0.9696,88.08,-71.6,944,24.36,0.9664,43.85,-31.44,-0.0032,-44.23,40.16,71.85,28.48,16280,23.94,0.9453,99.99,-99.99,4702,24.88,0.9955,82.37,-57.42,0.0502,-17.62,42.57,71.12
derivative_high_vol,M15,20,4,4,0.1,0.0,1.0,3.0,200,0.8,19.54,1432,26.12,1.0605,47.78,52.46,254,31.1,1.3543,12.61,77.95,0.2938,-35.17,25.49,82.26,19.39,7065,24.64,0.9812,91.15,-86.95,1295,25.56,1.0312,36.38,11.13,0.05,-54.77,98.08,81.67
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,2.0,100,0.7,29.07,1083,33.06,0.9876,59.29,-17.89,292,41.1,1.3953,14.28,91.11,0.4077,-45.01,109.0,73.04,28.95,5262,33.01,0.9858,83.26,-63.95,1490,34.09,1.0357,43.76,22.18,0.0499,-39.5,86.13,71.68
derivative_high_vol,M15,20,4,2,0.05,0.0,1.0,2.0,100,0.7,29.07,1590,35.03,1.0784,32.17,91.18,430,36.28,1.1387,14.56,39.85,0.0603,-17.61,-51.33,72.96,28.95,7910,33.25,0.9964,89.82,-62.27,2182,34.33,1.0461,52.47,55.28,0.0497,-37.35,117.55,72.41
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,3.0,200,0.7,38.83,5075,23.86,0.9405,98.59,-95.16,1865,24.56,0.9765,75.46,-45.28,0.036,-23.13,49.88,63.25,38.53,24560,24.28,0.9621,100.0,-100.0,9220,25.22,1.0116,83.87,-43.61,0.0495,-16.13,56.39,62.46
derivative_high_vol,M15,20,8,2,0.1,0.0,1.0,2.0,100,0.8,19.25,1117,34.2,1.0395,37.62,19.44,203,38.92,1.2742,15.88,37.46,0.2347,-21.74,18.02,81.83,18.66,5490,33.21,0.9945,83.35,-52.5,1007,34.26,1.0439,33.08,20.76,0.0494,-50.27,73.26,81.66
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,2.0,50,0.8,28.57,3353,32.87,0.9791,78.74,-55.1,944,34.11,1.0354,28.5,13.33,0.0563,-50.24,68.43,71.85,28.48,16280,32.98,0.9841,98.91,-96.45,4702,34.07,1.0335,63.44,76.43,0.0494,-35.47,172.88,71.12
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,3.0,200,0.7,38.83,4559,23.93,0.944,97.82,-92.54,1689,24.39,0.9679,72.29,-48.11,0.0239,-25.53,44.43,62.95,38.53,22101,24.51,0.9743,99.98,-99.95,8247,25.44,1.0236,91.03,23.97,0.0493,-8.95,123.92,62.68
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,4.0,100,0.8,29.19,3366,19.22,0.9518,95.46,-85.79,941,20.51,1.0321,52.62,5.33,0.0803,-42.84,91.12,72.04,28.11,16310,19.52,0.9701,99.95,-99.91,4458,20.3,1.0194,80.8,-17.63,0.0493,-19.15,82.28,72.67
derivative_high_vol,M15,20,8,2,0.1,0.0,1.0,3.0,50,0.8,34.16,1117,26.59,1.0866,33.82,71.2,394,27.92,1.162,20.87,48.76,0.0754,-12.95,-22.44,64.73,32.99,5490,24.63,0.9804,91.46,-80.11,1926,25.55,1.0293,55.09,13.97,0.0489,-36.37,94.08,64.92
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,2.0,200,0.7,38.83,4603,31.91,0.9378,93.21,-90.91,1704,33.1,0.9895,60.75,-25.08,0.0517,-32.46,65.83,62.98,38.53,22202,32.49,0.9624,99.96,-99.96,8318,33.58,1.011,75.75,-19.7,0.0486,-24.21,80.26,62.53
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,2.0,200,0.7,38.83,4603,31.7,0.9284,96.58,-93.25,1704,33.74,1.0186,52.29,4.05,0.0902,-44.29,97.3,62.98,38.53,22202,32.13,0.9467,100.0,-100.0,8318,33.23,0.9953,75.63,-66.21,0.0486,-24.37,33.79,62.53
