tf,strategy,fft_n,ratio_thresh,pers_thresh,pers_window,session_label,filter_type,clock_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain
M1,derivative,64,0.1,0.3,10,all,fft_clock,4.895843126720838,67756,25.11,1.0237,99.98,506.86,33879,33877,328848,24.91,1.0115,100.0,-100.0,164411,164437,-0.0122,1.0119,100.0,347245,-0.0004
M1,derivative,64,0.08,0.3,10,newyork,fft_clock,5.248270767577731,22240,24.47,0.994,99.87,-98.53,11123,11117,107145,24.02,0.9712,100.0,-100.0,53536,53609,-0.0228,0.9716,100.0,113073,-0.0004
M1,derivative,64,0.1,0.3,10,newyork,fft_clock,4.895843126720838,22331,24.46,0.9932,99.89,-98.74,11164,11167,107541,24.02,0.9712,100.0,-100.0,53741,53800,-0.022,0.9716,100.0,113073,-0.0004
M1,rsi,0,0.0,0.0,0,all,time_clock,1.6700020146397154,9798,35.05,1.0855,62.66,8157.83,4772,5026,47873,35.27,1.0951,60.08,4135475418110.54,23800,24073,0.0096,1.0956,60.12,49092,-0.0005
M1,derivative,64,0.1,0.5,10,all,fft_clock,3.885031226915587,68435,25.07,1.0216,99.99,118.84,34215,34220,332477,24.91,1.0114,100.0,-100.0,166230,166247,-0.0102,1.0119,100.0,347245,-0.0005
M1,derivative,64,0.06,0.5,10,newyork,fft_clock,4.090793096501242,22480,24.4,0.99,99.93,-99.27,11235,11245,108354,24.02,0.9711,100.0,-100.0,54169,54185,-0.0189,0.9716,100.0,113073,-0.0005
M1,derivative,64,0.06,0.3,10,all,fft_clock,5.368611913236183,67416,25.13,1.0245,99.98,792.85,33711,33705,327138,24.91,1.0113,100.0,-100.0,163570,163568,-0.0132,1.0119,100.0,347245,-0.0006
M1,derivative,64,0.08,0.5,10,all,fft_clock,4.053186488482977,68317,25.08,1.0217,99.99,131.62,34158,34159,331863,24.9,1.0113,100.0,-100.0,165921,165942,-0.0104,1.0119,100.0,347245,-0.0006
M1,derivative,64,0.1,0.3,20,all,fft_clock,4.428446712779531,68045,25.09,1.0223,99.99,211.67,34014,34031,330552,24.9,1.0113,100.0,-100.0,165252,165300,-0.011,1.0119,100.0,347245,-0.0006
M1,derivative,64,0.1,0.5,20,newyork,fft_clock,2.966624135383789,22720,24.43,0.9915,99.95,-99.11,11360,11360,109568,24.01,0.9709,100.0,-100.0,54778,54790,-0.0206,0.9716,100.0,113073,-0.0007
M1,derivative,64,0.06,0.5,10,all,fft_clock,4.090793096501242,68294,25.08,1.0219,99.99,146.61,34149,34145,331728,24.9,1.0111,100.0,-100.0,165852,165876,-0.0108,1.0119,100.0,347245,-0.0008
M1,derivative,64,0.06,0.5,20,all,fft_clock,3.4944597407830233,68682,25.07,1.0216,99.99,119.6,34340,34342,333675,24.9,1.0111,100.0,-100.0,166842,166833,-0.0105,1.0119,100.0,347245,-0.0008
M1,derivative,64,0.06,0.3,10,newyork,fft_clock,5.368611913236183,22222,24.46,0.9934,99.88,-98.66,11111,11111,106982,24.01,0.9708,100.0,-100.0,53467,53515,-0.0226,0.9716,100.0,113073,-0.0008
M1,derivative,64,0.1,0.5,20,all,fft_clock,2.966624135383789,69065,25.07,1.0215,99.99,107.71,34534,34531,335762,24.9,1.011,100.0,-100.0,167881,167881,-0.0105,1.0119,100.0,347245,-0.0009
M1,derivative,64,0.06,0.3,20,newyork,fft_clock,5.506413269760258,22156,24.43,0.9917,99.91,-98.97,11082,11074,106686,24.01,0.9706,100.0,-100.0,53345,53341,-0.0211,0.9716,100.0,113073,-0.001
M1,derivative,64,0.06,0.5,20,newyork,fft_clock,3.4944597407830233,22592,24.43,0.9916,99.95,-99.08,11291,11301,108862,24.01,0.9706,100.0,-100.0,54427,54435,-0.021,0.9716,100.0,113073,-0.001
M1,derivative,64,0.1,0.3,20,newyork,fft_clock,4.428446712779531,22411,24.42,0.9911,99.93,-99.12,11208,11203,108018,24.01,0.9704,100.0,-100.0,53989,54029,-0.0207,0.9716,100.0,113073,-0.0012
M1,derivative,64,0.08,0.5,20,london,fft_clock,3.297293667315828,26199,24.7,1.0055,99.74,-93.65,13112,13087,122910,24.94,1.0205,99.95,52.04,61467,61443,0.015,1.0218,99.93,127960,-0.0013
