tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M1,5,0.3,30,2.0,all,full_confl,64,0.03,5,53.2,6750,26.99,0.9329,98.45,-95.83,3252,3498,32933,28.25,0.9783,99.96,-99.9,16396,16537,0.0454,0.9858,100.0,214969,-0.0075,0.04,True
M1,5,0.5,30,2.0,all,full_confl,64,0.03,10,53.2,4564,27.43,0.9481,91.97,-82.62,2249,2315,22849,28.26,0.9779,99.42,-99.22,11526,11323,0.0298,0.9777,100.0,342639,0.0002,0.58,True
M1,5,1.0,70,2.0,asian,full_confl,64,0.03,5,53.2,11527,28.5,0.9624,98.34,-97.16,5818,5709,54920,29.24,0.9779,100.0,-100.0,27707,27213,0.0155,0.9721,100.0,350401,0.0058,0.0,True
M1,5,0.3,30,2.0,all,full_confl,64,0.03,10,53.2,2775,27.82,0.9711,74.65,-49.96,1338,1437,14298,28.3,0.9778,96.55,-95.29,7207,7091,0.0067,0.9858,100.0,214969,-0.008,3.45,True
M1,5,0.5,30,2.0,all,baseline,0,0.0,0,0.0,70742,27.33,0.9572,100.0,-100.0,34402,36340,342639,28.2,0.9777,100.0,-100.0,168478,174161,0.0205,0.9777,100.0,342639,0.0,0.0,True
M1,5,0.5,30,2.0,all,full_confl,64,0.05,10,50.0,4312,27.44,0.946,92.62,-81.9,2118,2194,21617,28.25,0.9772,99.31,-99.08,10911,10706,0.0312,0.9777,100.0,342639,-0.0005,0.69,True
M1,5,1.0,70,2.0,newyork,fft_cycle,64,0.03,5,53.2,14671,27.33,0.9691,99.92,-97.69,7089,7582,70867,27.59,0.9771,100.0,-100.0,35000,35867,0.008,0.9797,100.0,340144,-0.0026,0.0,True
M1,5,1.0,70,2.0,newyork,fft_cycle,64,0.05,5,50.0,14671,27.33,0.9691,99.92,-97.69,7089,7582,70867,27.59,0.9771,100.0,-100.0,35000,35867,0.008,0.9797,100.0,340144,-0.0026,0.0,True
M1,5,0.5,30,2.0,asian,full_confl,64,0.05,10,50.0,1535,30.42,1.0483,55.23,34.04,752,783,7276,29.21,0.9761,91.65,-81.34,3735,3541,-0.0722,0.9739,100.0,113973,0.0022,8.35,True
M1,5,0.5,70,2.0,asian,full_confl,64,0.05,5,50.0,6133,28.89,0.9739,90.18,-77.3,3087,3046,29158,29.32,0.976,99.96,-99.89,14674,14484,0.0021,0.9755,100.0,195824,0.0005,0.04,True
M1,5,0.5,70,2.0,asian,baseline,0,0.0,0,0.0,39227,28.3,0.9458,100.0,-100.0,19446,19781,195824,29.25,0.9755,100.0,-100.0,97697,98127,0.0297,0.9755,100.0,195824,0.0,0.0,True
M1,5,1.0,30,2.0,newyork,fft_cycle,64,0.03,10,53.2,4045,27.86,0.9951,90.78,-36.01,1985,2060,20251,27.56,0.9754,99.95,-98.88,10205,10046,-0.0197,1.0078,100.0,220033,-0.0324,0.05,True
M1,5,1.0,30,2.0,newyork,fft_cycle,64,0.05,10,50.0,4045,27.86,0.9951,90.78,-36.01,1985,2060,20251,27.56,0.9754,99.95,-98.88,10205,10046,-0.0197,1.0078,100.0,220033,-0.0324,0.05,True
M1,5,1.0,30,2.0,asian,fft_cycle,64,0.03,5,53.2,10270,28.78,0.9832,95.82,-84.98,5048,5222,50213,29.08,0.9752,100.0,-100.0,25151,25062,-0.008,0.972,100.0,223224,0.0032,0.0,True
M1,5,1.0,30,2.0,asian,fft_cycle,64,0.05,5,50.0,10270,28.78,0.9832,95.82,-84.98,5048,5222,50213,29.08,0.9752,100.0,-100.0,25151,25062,-0.008,0.972,100.0,223224,0.0032,0.0,True
M1,5,1.0,70,2.0,asian,full_confl,64,0.05,5,50.0,11026,28.51,0.9621,98.29,-96.76,5558,5468,52337,29.2,0.9752,100.0,-100.0,26447,25890,0.0131,0.9721,100.0,350401,0.0031,0.0,True
M1,5,0.3,70,2.0,newyork,full_confl,64,0.05,10,50.0,1340,26.72,0.9098,77.75,-55.97,645,695,7297,28.08,0.975,87.36,-81.1,3671,3626,0.0652,0.9882,100.0,128504,-0.0132,12.64,True
M1,5,1.0,30,2.0,all,baseline,0,0.0,0,0.0,139616,27.1,0.9472,100.0,-100.0,67912,71704,668607,28.1,0.9746,100.0,-100.0,329404,339203,0.0274,0.9746,100.0,668607,0.0,0.0,True
M1,5,0.5,30,2.0,asian,baseline,0,0.0,0,0.0,22803,28.31,0.9584,99.99,-99.95,11133,11670,113973,29.18,0.9739,100.0,-100.0,56698,57275,0.0155,0.9739,100.0,113973,0.0,0.0,True
M1,5,1.0,30,2.0,all,fft_cycle,64,0.03,5,53.2,30352,27.82,0.972,100.0,-99.94,14778,15574,147223,28.08,0.9728,100.0,-100.0,73188,74035,0.0008,0.9746,100.0,668607,-0.0018,0.0,True
M1,5,1.0,30,2.0,all,fft_cycle,64,0.05,5,50.0,30352,27.82,0.972,100.0,-99.94,14778,15574,147223,28.08,0.9728,100.0,-100.0,73188,74035,0.0008,0.9746,100.0,668607,-0.0018,0.0,True
M1,5,1.0,70,2.0,newyork,full_confl,64,0.05,10,50.0,3769,28.47,1.0066,90.01,-16.4,1829,1940,19737,27.65,0.9727,99.76,-99.09,9866,9871,-0.0339,0.9797,100.0,340144,-0.007,0.24,True
M1,5,1.0,70,2.0,asian,baseline,0,0.0,0,0.0,71282,28.34,0.9486,100.0,-100.0,35428,35854,350401,29.13,0.9721,100.0,-100.0,175121,175280,0.0235,0.9721,100.0,350401,0.0,0.0,True
M1,5,1.0,30,2.0,asian,baseline,0,0.0,0,0.0,45398,28.02,0.9448,100.0,-100.0,22227,23171,223224,29.09,0.972,100.0,-100.0,111469,111755,0.0272,0.972,100.0,223224,0.0,0.0,True
M1,5,0.3,30,2.0,all,fft_cycle,64,0.03,5,53.2,9613,27.37,0.9488,98.73,-97.37,4651,4962,47072,28.1,0.9712,100.0,-100.0,23448,23624,0.0224,0.9858,100.0,214969,-0.0146,0.0,True
M1,5,0.3,30,2.0,all,fft_cycle,64,0.05,5,50.0,9613,27.37,0.9488,98.73,-97.37,4651,4962,47072,28.1,0.9712,100.0,-100.0,23448,23624,0.0224,0.9858,100.0,214969,-0.0146,0.0,True
M1,5,1.0,30,2.0,all,full_confl,64,0.03,5,53.2,21384,27.62,0.962,99.98,-99.84,10417,10967,102462,28.06,0.9707,100.0,-100.0,50890,51572,0.0087,0.9746,100.0,668607,-0.0039,0.0,True
M1,5,0.5,30,2.0,newyork,full_confl,64,0.05,10,50.0,1251,25.5,0.8668,76.39,-66.04,607,644,6633,27.89,0.9706,90.34,-81.31,3363,3270,0.1038,1.0187,99.64,114186,-0.0481,9.3,True
M1,5,0.5,30,2.0,all,full_confl,64,0.03,5,53.2,10940,27.34,0.9498,99.52,-98.29,5313,5627,52373,28.09,0.97,100.0,-100.0,26107,26266,0.0202,0.9777,100.0,342639,-0.0077,0.0,True
