tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M5,5,1.0,70,2.0,asian,full_confl,64,0.03,10,51.6,793,35.31,1.0938,48.08,49.03,372,421,4631,34.18,1.0401,61.78,112.62,2437,2194,-0.0537,1.0086,99.99,75383,0.0315,38.21,True
M5,5,1.0,30,2.0,asian,full_confl,64,0.03,5,51.6,1370,34.53,1.0558,60.45,43.55,714,656,7428,34.19,1.0401,85.3,236.3,3689,3739,-0.0157,1.0084,99.89,48998,0.0317,14.59,True
M5,5,1.0,30,2.0,newyork,full_confl,64,0.05,5,48.3,1454,29.3,0.8884,90.21,-69.95,613,841,7010,31.58,1.0397,77.89,182.54,3400,3610,0.1513,1.0197,99.87,53577,0.02,21.98,True
M5,5,0.5,70,2.0,all,full_confl,64,0.03,10,51.6,1315,31.63,0.9823,56.29,-24.02,578,737,7261,32.67,1.0394,77.48,201.05,3615,3646,0.0571,0.9936,100.0,124607,0.0458,22.52,True
M5,5,0.5,70,2.0,asian,full_confl,64,0.05,5,48.3,1096,33.76,1.0193,43.84,3.09,551,545,5903,34.17,1.0389,72.47,150.04,2932,2971,0.0196,1.0094,99.64,41602,0.0295,27.17,True
M5,5,0.5,70,2.0,asian,full_confl,64,0.03,5,51.6,1165,34.16,1.0378,44.46,18.87,582,583,6181,34.17,1.0389,78.42,160.77,3072,3109,0.0011,1.0094,99.64,41602,0.0295,21.22,True
M5,5,0.3,30,2.0,newyork,full_confl,128,0.03,5,62.6,552,26.09,0.7442,70.44,-64.58,246,306,2692,31.91,1.0387,67.41,47.29,1271,1421,0.2945,1.0604,93.46,16010,-0.0217,26.05,True
M5,5,0.3,70,2.0,asian,fft_cycle,64,0.03,5,51.6,1109,33.99,1.0301,34.33,11.49,559,550,5622,34.13,1.0381,68.96,132.83,2825,2797,0.008,1.0039,98.69,26419,0.0342,29.73,True
M5,5,0.3,70,2.0,asian,fft_cycle,64,0.05,5,48.3,1109,33.99,1.0301,34.33,11.49,559,550,5622,34.13,1.0381,68.96,132.83,2825,2797,0.008,1.0039,98.69,26419,0.0342,29.73,True
M5,5,0.5,70,2.0,asian,full_confl,128,0.05,10,58.6,458,34.06,1.0331,29.8,5.55,226,232,2340,34.15,1.0377,72.03,41.17,1187,1153,0.0046,1.0094,99.64,41602,0.0283,27.61,True
