tf,ema_period,atr_channel_mult,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,20,2.5,1.5,4.0,newyork,514,20.43,0.9783,41.97,-17.83,2856,18.52,0.8555,98.56,-98.34,3370,1701,1669,42.08646884272997
M15,100,2.5,1.5,2.0,all,1128,34.57,0.9765,57.96,-25.74,5275,31.72,0.855,99.83,-99.76,6403,3211,3192,13.593784163673279
M15,100,2.0,1.0,4.0,newyork,395,25.32,1.2648,15.66,108.17,2030,18.67,0.8548,95.54,-94.61,2425,1191,1234,18.60721649484536
M15,50,2.0,1.5,3.0,all,1495,25.89,0.9812,54.22,-36.02,7010,23.42,0.8539,100.0,-99.99,8505,4246,4259,17.493356848912406
M5,100,1.5,1.5,4.0,newyork,1313,19.57,0.9039,80.46,-73.73,6135,18.68,0.8538,99.99,-99.99,7448,3625,3823,43.883297529538126
M5,50,2.5,1.0,4.0,london,1546,19.92,0.8721,93.14,-87.3,7370,19.8,0.8537,100.0,-100.0,8916,4407,4509,9.134679228353523
M5,100,2.0,1.0,4.0,london,1735,21.15,0.9369,90.21,-73.21,8186,19.83,0.8537,100.0,-100.0,9921,4897,5024,8.842606592077411
M15,100,2.5,1.0,4.0,all,1128,20.39,0.9294,69.68,-59.74,5275,19.11,0.8535,99.97,-99.96,6403,3211,3192,11.32901764797751
M5,50,2.0,1.5,2.0,london,1910,33.51,0.903,84.6,-78.04,9077,32.5,0.8531,100.0,-100.0,10987,5454,5533,10.14354236825339
M15,50,3.0,1.5,3.0,all,932,23.07,0.8442,78.64,-72.84,4293,23.32,0.8526,99.77,-99.67,5225,2624,2601,17.814047846889952
M15,100,2.0,1.5,2.0,london,590,35.25,1.014,32.69,-0.43,2982,31.49,0.8522,98.02,-96.87,3572,1772,1800,8.650447928331467
M15,50,3.0,1.5,3.0,asian,341,26.1,0.9666,37.14,-13.26,1439,23.84,0.8519,92.73,-85.8,1780,912,868,9.449044943820224
M15,20,1.5,1.5,4.0,newyork,534,17.04,0.8406,60.53,-55.47,2767,17.64,0.8518,98.41,-98.09,3301,1594,1707,37.45883065737655
M15,100,2.0,1.0,4.0,all,1186,22.09,1.0265,69.62,1.42,5886,19.1,0.8517,99.99,-99.98,7072,3501,3571,10.934785067873303
