tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,20,2,4,0.05,0.05,2.0,3.0,1956,23.159509202453986,0.7796500425540407,92.83367769473979,-90.50850916604219,177,33.89830508474576,1.3745258130245754,12.074952790169357,69.65384292787238,2133,1075,1058,33.735583684950775
M15,20,8,2,0.15,0.0,1.0,4.0,1,100.0,inf,0.0,4.347747937058388,15,26.666666666666668,1.333456095544177,7.0520036809761555,4.11514642234716,16,6,10,18.1875
M15,20,8,2,0.15,0.02,1.0,4.0,1,100.0,inf,0.0,4.347747937058388,15,26.666666666666668,1.333456095544177,7.0520036809761555,4.11514642234716,16,6,10,18.1875
M15,20,8,2,0.15,0.05,1.0,4.0,1,100.0,inf,0.0,4.347747937058388,15,26.666666666666668,1.333456095544177,7.0520036809761555,4.11514642234716,16,6,10,18.1875
M15,20,8,4,0.05,0.0,1.5,4.0,19,21.052631578947366,0.9808949168182066,11.246463583709,-0.31880306344754805,107,26.168224299065418,1.3105728680191697,19.581173808356017,29.551476800579014,126,60,66,32.15873015873016
M15,20,8,4,0.05,0.02,1.5,4.0,19,21.052631578947366,0.9808949168182066,11.246463583709,-0.31880306344754805,107,26.168224299065418,1.3105728680191697,19.581173808356017,29.551476800579014,126,60,66,32.15873015873016
M15,20,8,4,0.05,0.05,1.5,4.0,20,20.0,0.9223625896972912,12.264330681079487,-1.337683377548149,107,26.168224299065418,1.3105728680191697,19.581173808356017,29.551476800579014,127,60,67,31.35433070866142
M15,20,8,2,0.05,0.05,1.5,3.0,22,27.27272727272727,1.0373489591843725,9.390830712909104,0.6715508357237665,98,32.6530612244898,1.296943628285228,16.28823890135703,26.188694385858845,120,57,63,23.383333333333333
M15,10,2,4,0.1,0.02,2.0,3.0,2056,23.346303501945524,0.8292516991520684,90.61741797200415,-90.12911155064701,238,31.512605042016805,1.2960245905652097,16.90339893108842,63.5946472220529,2294,1144,1150,37.280732345248474
M15,10,2,4,0.1,0.0,2.0,3.0,2069,23.247945867568873,0.8316221716716358,91.86433790750618,-91.44092609720677,238,31.512605042016805,1.2953107379694913,17.004085482634203,63.396432330914095,2307,1152,1155,37.156480277416556
