tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M5,full_confluence,128,0.08,5,0.12,10,1.5,4.0,london,2,50.0,4.0,1.0,2.96,1,1,99.9,52.1,38,28.95,1.6296,9.65,17.36,15,23,-2.3704,0.967,100.0,25604,0.6626,90.35,True
M15,full_confluence,128,0.08,10,0.08,20,1.0,2.0,asian,4,25.0,0.6667,2.97,-1.03,2,2,99.7,49.2,29,44.83,1.625,3.03,10.15,12,17,0.9583,1.0119,76.51,6185,0.6131,73.48,False
M15,full_confluence,128,0.05,10,0.08,20,1.5,4.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,49,26.53,1.625,6.79,20.71,21,28,1.625,0.8981,99.8,5754,0.7269,93.01,True
M15,full_confluence,128,0.08,10,0.08,20,1.5,4.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,49,26.53,1.625,6.79,20.71,21,28,1.625,0.8981,99.8,5754,0.7269,93.01,True
M5,full_confluence,128,0.03,3,0.12,10,1.0,2.0,asian,14,35.71,1.1111,4.93,0.86,6,8,99.9,62.6,85,44.71,1.617,5.85,32.33,47,38,0.5059,1.0293,76.42,24504,0.5877,70.57,True
M5,full_confluence,128,0.05,3,0.12,10,1.0,2.0,asian,14,35.71,1.1111,4.93,0.86,6,8,99.9,58.6,85,44.71,1.617,5.85,32.33,47,38,0.5059,1.0293,76.42,24504,0.5877,70.57,True
M5,full_confluence,128,0.03,5,0.12,10,1.0,3.0,asian,4,50.0,3.0,1.0,3.98,2,2,99.9,62.6,60,35.0,1.6154,10.47,25.71,33,27,-1.3846,1.0376,88.23,24504,0.5778,77.76,True
M5,full_confluence,128,0.05,5,0.12,10,1.0,3.0,asian,4,50.0,3.0,1.0,3.98,2,2,99.9,58.6,60,35.0,1.6154,10.47,25.71,33,27,-1.3846,1.0376,88.23,24504,0.5778,77.76,True
M5,full_confluence,128,0.03,10,0.12,10,1.5,2.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,9,44.44,1.6,1.0,2.94,3,6,1.6,1.0188,80.19,24504,0.5812,79.19,False
M5,full_confluence,128,0.05,10,0.12,10,1.5,2.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,9,44.44,1.6,1.0,2.94,3,6,1.6,1.0188,80.19,24504,0.5812,79.19,False
