tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,256,0.05,0.2,5,1.5,2.0,london,890,33.15,0.9254,53.96,-42.49,4598,34.01,0.9555,86.17,-84.78,5488,2742,2746,9.632434402332361
M15,128,0.05,0.2,5,1.0,3.0,london,996,25.4,0.9339,63.72,-49.05,5066,26.02,0.955,94.8,-92.48,6062,3043,3019,6.282151105245794
M15,256,0.05,0.2,10,1.0,2.0,london,229,30.57,0.7946,37.79,-31.03,1097,34.82,0.9546,53.75,-36.9,1326,659,667,3.6309200603318255
M15,256,0.05,0.2,5,1.5,4.0,newyork,807,19.95,0.968,67.42,-31.03,4051,19.21,0.9543,93.98,-90.06,4858,2426,2432,42.55279950596953
M15,64,0.1,0.2,5,1.5,4.0,london,1115,19.55,0.9302,71.76,-57.97,5450,19.93,0.9543,97.63,-95.72,6565,3279,3286,21.28872810357959
M15,256,0.1,0.3,10,1.0,2.0,london,233,32.62,0.8733,29.6,-21.05,1207,34.8,0.9538,54.55,-40.18,1440,725,715,3.5838194444444444
M15,128,0.05,0.3,10,1.0,3.0,london,299,26.09,0.9656,28.72,-11.95,1407,25.87,0.9533,66.71,-52.11,1706,859,847,6.34021101992966
M15,256,0.1,0.3,5,1.0,3.0,newyork,991,23.01,0.8296,82.17,-78.07,4970,25.65,0.9532,96.56,-92.48,5961,2978,2983,17.917127998657943
M15,64,0.1,0.3,5,1.5,4.0,london,1251,19.18,0.9122,79.87,-68.68,6389,19.92,0.9532,98.65,-97.65,7640,3841,3799,21.380117801047117
M15,128,0.05,0.3,10,1.5,3.0,london,299,27.42,1.0656,17.86,10.74,1407,25.23,0.9529,69.64,-51.73,1706,859,847,15.68042203985932
M15,128,0.05,0.2,5,1.0,4.0,london,996,21.08,0.9827,60.31,-29.41,5066,20.73,0.9529,96.63,-95.3,6062,3043,3019,8.882151105245795
M15,256,0.1,0.2,5,1.5,2.0,london,902,33.15,0.9258,48.53,-42.77,4610,33.95,0.9526,87.83,-86.19,5512,2757,2755,9.616364296081278
M15,128,0.1,0.3,10,1.5,3.0,london,261,24.9,0.9346,31.08,-15.86,1257,25.22,0.9525,70.27,-48.03,1518,767,751,15.528063241106718
M15,256,0.1,0.3,10,1.5,4.0,asian,184,19.02,0.8589,24.59,-22.95,1055,20.66,0.9519,72.37,-47.54,1239,616,623,12.862389023405973
M15,256,0.1,0.2,5,1.5,4.0,newyork,802,19.83,0.9609,67.14,-34.01,4082,19.18,0.9515,94.5,-91.12,4884,2440,2444,42.478951678951674
M15,256,0.1,0.2,10,1.0,3.0,all,514,24.9,0.8936,43.87,-40.59,2549,26.25,0.9511,82.01,-75.16,3063,1523,1540,10.466438132549788
M15,128,0.1,0.2,10,1.0,4.0,london,195,21.03,0.9736,21.66,-8.02,998,20.64,0.951,64.57,-46.05,1193,606,587,9.065381391450126
M15,256,0.1,0.3,5,1.0,4.0,newyork,991,17.86,0.809,85.77,-83.91,4970,20.38,0.9499,97.66,-95.49,5961,2978,2983,22.334255997315886
M15,128,0.1,0.2,5,1.5,3.0,london,999,24.62,0.9233,64.21,-52.77,5092,25.26,0.9496,95.38,-93.75,6091,3059,3032,15.865604990970285
M15,256,0.1,0.3,5,1.0,3.0,london,1110,25.41,0.9341,62.11,-52.76,5705,25.92,0.9496,96.03,-95.77,6815,3405,3410,6.065150403521644
M15,128,0.1,0.2,5,1.5,4.0,london,999,20.02,0.9646,58.07,-38.77,5092,19.91,0.949,97.4,-95.82,6091,3059,3032,21.665604990970287
M15,256,0.1,0.3,5,1.0,2.0,newyork,991,32.59,0.8859,65.76,-59.55,4970,34.27,0.9485,91.92,-89.9,5961,2978,2983,12.300251635631605
M15,128,0.1,0.2,10,1.5,3.0,london,195,25.64,0.9698,23.23,-7.24,998,25.15,0.9479,60.7,-42.66,1193,606,587,15.650963956412404
M15,256,0.05,0.3,5,1.5,3.0,newyork,967,24.3,0.9171,70.0,-53.68,4871,24.76,0.9479,96.53,-93.24,5838,2918,2920,35.20369989722507
M15,256,0.05,0.2,10,1.0,4.0,newyork,218,15.6,0.6869,53.24,-47.61,981,20.39,0.9475,67.9,-46.83,1199,602,597,21.454545454545453
M15,256,0.1,0.2,5,1.5,4.0,london,902,19.29,0.9169,65.89,-55.17,4610,19.83,0.9466,95.63,-94.83,5512,2757,2755,21.51999274310595
M15,128,0.05,0.3,5,1.5,4.0,london,1185,20.0,0.9585,66.13,-47.46,6170,19.84,0.9463,98.73,-98.13,7355,3679,3676,21.377226376614548
M15,256,0.1,0.3,5,1.5,3.0,newyork,991,24.42,0.9229,68.29,-52.45,4970,24.73,0.9455,97.14,-94.18,5961,2978,2983,35.0848850863949
M15,256,0.05,0.2,5,1.5,4.0,london,890,19.21,0.9123,67.6,-56.22,4598,19.81,0.9454,95.4,-95.03,5488,2742,2746,21.486479591836734
M15,128,0.05,0.3,10,1.0,4.0,asian,241,18.26,0.7801,45.13,-41.0,1271,21.24,0.9451,73.01,-58.17,1512,766,746,7.608730158730158
M15,128,0.05,0.3,5,1.5,3.0,london,1185,24.39,0.9143,73.24,-62.28,6170,25.11,0.9451,97.88,-97.21,7355,3679,3676,15.745003399048267
M15,128,0.1,0.2,5,1.0,3.0,london,999,25.33,0.9309,61.25,-50.33,5092,25.81,0.9443,96.41,-95.2,6091,3059,3032,6.265604990970284
M15,256,0.1,0.3,10,1.0,3.0,all,595,25.88,0.9422,36.48,-30.65,3094,26.08,0.9439,86.0,-84.6,3689,1839,1850,10.516129032258064
M15,64,0.05,0.3,10,1.0,2.0,london,346,33.24,0.9057,37.26,-23.39,2019,34.52,0.9431,71.17,-63.73,2365,1187,1178,3.558520084566596
M15,256,0.05,0.3,5,1.0,3.0,london,1069,25.07,0.9171,68.25,-58.09,5618,25.79,0.943,96.87,-96.69,6687,3339,3348,6.063944967848063
M15,128,0.05,0.3,5,1.5,2.0,london,1185,32.74,0.9098,64.82,-58.05,6170,33.68,0.9425,96.21,-95.44,7355,3679,3676,9.912780421481985
M15,256,0.05,0.3,5,1.0,3.0,newyork,967,22.96,0.8274,83.42,-77.66,4871,25.44,0.9424,97.51,-94.81,5838,2918,2920,18.001233299075025
M15,128,0.1,0.3,5,1.5,3.0,london,1220,23.93,0.8923,76.93,-70.46,6251,25.05,0.9424,98.17,-97.67,7471,3741,3730,15.830638468745816
M15,64,0.05,0.3,10,1.5,2.0,london,346,33.53,0.9466,31.49,-14.99,2019,33.63,0.9422,73.52,-63.78,2365,1187,1178,9.936490486257927
M15,64,0.1,0.3,10,1.5,2.0,london,298,31.54,0.8656,33.15,-27.0,1758,33.62,0.9414,70.67,-59.09,2056,1036,1020,9.815953307392995
M15,256,0.1,0.2,10,1.5,4.0,asian,162,19.14,0.8646,24.59,-19.88,862,20.53,0.9412,75.15,-45.49,1024,511,513,12.567773437500001
M15,64,0.05,0.3,5,1.5,3.0,london,1256,25.0,0.9403,69.23,-53.93,6345,25.04,0.9411,98.73,-97.93,7601,3811,3790,15.84871727404289
M15,128,0.1,0.3,5,1.5,2.0,london,1220,32.46,0.8986,67.28,-62.96,6251,33.64,0.941,96.33,-95.91,7471,3741,3730,9.997978851559362
M15,128,0.1,0.2,5,1.0,4.0,london,999,20.92,0.9739,58.37,-34.5,5092,20.52,0.9409,97.98,-97.26,6091,3059,3032,8.949203743227715
M15,64,0.1,0.2,10,1.5,3.0,asian,212,24.06,0.8701,26.3,-22.44,1293,25.68,0.9407,61.84,-55.42,1505,750,755,11.056345514950166
M15,256,0.05,0.3,5,1.0,2.0,newyork,967,32.57,0.8852,66.6,-58.84,4871,34.08,0.9406,93.6,-91.96,5838,2918,2920,12.400616649537513
M15,256,0.05,0.2,10,1.0,3.0,all,591,24.2,0.8603,61.33,-53.36,2892,26.0,0.9399,85.25,-84.16,3483,1731,1752,10.415159345391903
