tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,64,0.05,0.3,10,1.0,3.0,asian,5870,26.12,1.0607,54.18,467.11,28554,26.46,1.0793,66.76,21327461.01,34424,17196,17228,6.034104113409249
M15,256,0.1,0.3,10,1.5,2.0,asian,190,36.32,1.1405,10.87,16.22,1073,35.04,1.0789,21.81,55.38,1263,620,643,6.320348376880443
M15,256,0.05,0.2,5,1.0,4.0,london,910,18.13,0.8859,73.18,-63.8,4565,21.2,1.0786,51.5,558.6,5475,2740,2735,20.90082191780822
M15,64,0.05,0.3,10,1.5,4.0,asian,297,18.52,0.9091,41.02,-24.05,1811,21.2,1.0779,46.64,109.39,2108,1040,1068,14.028178368121443
M1,64,0.05,0.3,10,1.0,3.0,all,16590,26.17,1.064,71.91,19906.65,83075,26.41,1.0778,73.0,1.2325815945245083e+17,99665,49846,49819,6.783354236692921
M1,64,0.1,0.2,5,1.0,4.0,all,45149,20.9,1.0623,97.08,44162402.42,221979,21.14,1.0768,94.73,2.705979689387904e+40,267128,133513,133615,9.050704905513463
M1,64,0.05,0.3,5,1.0,3.0,asian,17784,26.24,1.0676,80.66,46341.35,86514,26.41,1.0767,87.51,2.764746616887327e+17,104298,52098,52200,5.9341022838405335
M1,64,0.1,0.2,10,1.0,4.0,all,12569,21.09,1.0747,81.58,12141.86,62641,21.14,1.0765,82.71,6049453267333.82,75210,37623,37587,9.033423746842177
M1,64,0.05,0.2,5,1.0,3.0,asian,15638,26.34,1.0729,73.44,40363.62,76328,26.4,1.0765,86.77,3733630016776294.0,91966,45971,45995,5.951012330643934
M1,64,0.1,0.2,10,1.0,4.0,asian,4535,21.32,1.0859,75.42,739.08,21445,21.19,1.0764,68.9,495308.97,25980,13024,12956,7.969822940723634
M1,64,0.05,0.2,5,1.0,4.0,all,45292,20.95,1.0652,97.21,124374775.73,222240,21.13,1.0764,94.14,1.4970108325437045e+40,267532,133729,133803,9.033859127132455
M15,128,0.1,0.2,10,1.0,3.0,asian,181,21.55,0.8239,23.99,-23.99,890,26.4,1.0763,38.45,43.81,1071,527,544,3.8830999066293184
M1,64,0.05,0.3,5,1.0,4.0,asian,17784,21.09,1.0701,84.53,48785.52,86514,21.19,1.0763,95.88,7.828030159376011e+16,104298,52098,52200,7.9511534257608
M1,64,0.05,0.3,5,1.0,4.0,all,51578,20.98,1.0675,97.23,2175574684.83,252645,21.14,1.0763,97.04,2.4320028838539976e+45,304223,152107,152116,9.0339080214185
M15,128,0.1,0.3,10,1.5,3.0,asian,237,25.32,1.0169,23.59,-0.54,1106,26.4,1.0762,32.39,56.86,1343,660,683,9.15294117647059
M1,64,0.1,0.3,5,1.0,4.0,all,51884,20.97,1.0668,98.05,1803558976.3,254908,21.13,1.0761,94.41,3.755717887047427e+45,306792,153385,153407,9.050735351638895
M15,256,0.1,0.3,5,1.5,3.0,asian,1016,25.1,1.0053,33.31,-10.49,5154,26.39,1.0759,54.91,707.76,6170,3078,3092,9.847001620745543
M15,64,0.1,0.2,10,1.0,2.0,asian,215,34.42,1.0496,14.33,4.95,1318,34.98,1.0758,42.7,67.51,1533,761,772,2.785975212002609
M1,64,0.1,0.3,5,1.0,4.0,asian,17983,21.08,1.0696,89.09,49279.09,87417,21.18,1.0755,96.21,6.239785308402932e+16,105400,52648,52752,7.968246679316889
M15,256,0.05,0.2,10,1.0,2.0,newyork,186,28.49,0.797,29.83,-24.96,941,34.96,1.0752,24.17,43.94,1127,582,545,11.216503992901508
M15,256,0.1,0.3,10,1.0,3.0,asian,190,26.32,1.0714,20.08,7.35,1073,26.37,1.0747,35.9,53.02,1263,620,643,4.0
M1,64,0.05,0.2,10,1.0,4.0,asian,5177,21.21,1.0786,74.95,749.41,25222,21.16,1.0745,74.46,1551990.44,30399,15218,15181,8.034060330931938
M1,64,0.05,0.2,5,1.0,4.0,asian,15638,21.05,1.0679,74.3,17737.65,76328,21.16,1.0745,95.82,464245288157705.75,91966,45971,45995,7.951012330643934
M1,64,0.1,0.2,5,1.0,3.0,asian,15693,26.35,1.0735,76.28,43776.6,76353,26.37,1.0744,89.93,1167789193069847.2,92046,46009,46037,5.951147252460727
M1,64,0.1,0.3,5,1.0,3.0,asian,17983,26.29,1.0702,80.12,70309.69,87417,26.37,1.0743,91.26,8.98419776166706e+16,105400,52648,52752,5.951185009487666
M1,64,0.1,0.2,5,1.0,4.0,asian,15693,21.02,1.0655,77.61,13555.18,76353,21.16,1.0742,96.09,394510760668308.5,92046,46009,46037,7.9681963366143025
M15,256,0.1,0.2,10,1.0,3.0,all,514,25.1,1.0052,26.99,-5.47,2549,26.36,1.0741,48.74,171.57,3063,1523,1540,10.466438132549788
M1,64,0.05,0.2,10,1.0,4.0,all,14586,21.04,1.0712,86.45,17874.15,73420,21.1,1.074,85.19,105729119087822.69,88006,44021,43985,9.01657386996341
M15,256,0.05,0.2,10,1.5,2.0,all,591,34.86,1.0701,17.6,23.36,2892,34.92,1.0739,41.75,199.21,3483,1731,1752,15.21696813092162
M15,256,0.05,0.3,5,1.0,3.0,asian,970,25.67,1.0361,24.75,12.06,5076,26.36,1.0738,46.29,625.38,6046,3019,3027,4.116043665233212
M1,64,0.1,0.2,10,1.0,2.0,all,12569,34.55,1.0562,48.87,2746.99,62641,34.93,1.0737,64.32,1867020113780.27,75210,37623,37587,4.416711873421088
M15,256,0.05,0.2,10,1.0,3.0,newyork,186,20.97,0.7959,33.18,-27.72,941,26.35,1.0736,29.03,44.15,1127,582,545,14.619432120674356
