tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,13,34,55,1.0,2.0,asian,2912,34.86,1.0701,33.7,181.28,14437,34.25,1.0416,67.49,1113.81,17349,8656,8693,3.7
M15,8,21,55,1.0,3.0,asian,318,25.16,1.0084,22.36,-2.69,1665,25.77,1.0413,41.58,29.5,1983,979,1004,3.867927382753404
M15,13,34,89,1.0,2.0,london,194,34.54,1.0551,23.22,5.17,996,34.24,1.0412,42.76,18.5,1190,552,638,8.569579831932773
M15,8,34,55,1.0,2.0,asian,251,36.25,1.1375,15.16,21.41,1297,34.23,1.041,40.41,24.54,1548,749,799,2.651356589147287
M1,5,34,55,1.0,2.0,asian,4138,34.05,1.0326,56.37,60.73,20156,34.23,1.041,74.15,2929.18,24294,12061,12233,3.7
M1,8,21,89,1.0,2.0,asian,4164,33.72,1.0174,65.73,6.61,20292,34.23,1.0409,85.84,2948.6,24456,12167,12289,3.7000000000000006
M1,13,34,55,1.0,3.0,asian,2912,26.44,1.0784,41.37,242.97,14437,25.74,1.0399,66.99,717.36,17349,8656,8693,5.6
M15,5,21,89,1.5,4.0,asian,367,21.53,1.0972,33.43,22.62,1797,20.59,1.0393,55.99,22.14,2164,1044,1120,12.60351201478743
M15,13,21,55,1.0,2.0,asian,278,34.89,1.0718,15.96,10.71,1433,34.19,1.0392,37.2,25.34,1711,842,869,2.6512565751022796
M15,8,34,89,1.0,3.0,asian,236,26.27,1.069,23.22,8.75,1221,25.72,1.0386,51.13,18.03,1457,702,755,3.716197666437886
M1,13,34,89,1.0,2.0,london,3029,33.05,0.9872,70.42,-42.86,13766,34.18,1.0386,74.68,729.22,16795,8385,8410,4.281964870497172
M1,5,21,89,1.5,3.0,asian,4980,25.66,1.0379,77.02,91.59,24103,25.63,1.0386,88.9,2520.73,29083,14469,14614,12.3315063782966
M1,5,34,55,1.0,3.0,asian,4138,26.12,1.0608,64.57,241.85,20156,25.7,1.0381,74.77,1330.31,24294,12061,12233,5.665933975467194
M1,5,21,55,1.0,3.0,london,5820,23.68,0.9315,98.78,-97.92,26749,25.67,1.0376,79.68,3023.44,32569,16256,16313,6.7285209862138835
M15,8,34,89,1.5,2.0,asian,236,35.59,1.1053,21.18,14.54,1221,34.15,1.0373,30.24,19.39,1457,702,755,5.932395332875772
M1,5,34,89,1.0,2.0,asian,3946,32.82,0.977,83.48,-63.18,19164,34.14,1.0366,70.5,1378.26,23110,11454,11656,3.7
M1,5,21,55,1.0,4.0,london,5820,18.69,0.9244,99.62,-99.04,26749,20.5,1.0366,89.03,1015.86,32569,16256,16313,9.074911725874298
M1,8,34,55,1.0,3.0,asian,3437,25.81,1.0435,63.77,80.45,16885,25.67,1.0363,74.04,650.63,20322,10151,10171,5.6
M15,13,21,55,1.5,2.0,asian,278,35.25,1.0889,18.46,14.06,1433,34.12,1.036,40.87,21.65,1711,842,869,5.948743424897721
M15,5,21,55,1.0,2.0,london,313,32.91,0.981,28.21,-6.84,1692,34.1,1.0359,45.58,25.87,2005,973,1032,9.5
M15,13,21,55,1.0,3.0,london,240,21.67,0.8298,40.35,-29.7,1205,25.64,1.0358,45.58,14.87,1445,714,731,13.900346020761246
M1,5,34,89,1.0,4.0,london,4326,19.14,0.9528,96.98,-91.46,19851,20.49,1.0358,88.09,430.76,24177,12059,12118,9.06421392232287
M5,5,34,89,1.5,2.0,asian,820,35.37,1.0943,24.0,51.6,4056,34.1,1.0348,51.44,68.62,4876,2416,2460,7.7345365053322395
M1,5,21,89,1.0,3.0,london,5518,24.28,0.9629,96.53,-90.48,25356,25.62,1.0348,82.33,1443.44,30874,15417,15457,6.664254712703245
M5,13,21,55,1.5,2.0,asian,785,32.23,0.9511,41.29,-28.59,3717,34.09,1.0343,57.47,59.46,4502,2215,2287,7.71743669480231
M1,13,21,89,1.0,2.0,asian,3454,33.58,1.0113,64.78,-8.1,16984,34.09,1.0342,84.73,736.37,20438,10153,10285,3.6831001076426264
M5,8,34,89,1.0,2.0,asian,690,34.06,1.033,24.47,8.41,3366,34.08,1.0338,72.38,50.97,4056,2001,2055,3.3829881656804734
M1,13,34,89,1.0,2.0,asian,2721,33.92,1.0267,56.44,23.04,13449,34.07,1.0335,72.22,404.96,16170,8055,8115,3.7
M1,5,21,55,1.5,3.0,asian,5267,25.4,1.024,84.42,16.46,25291,25.53,1.0335,86.82,1102.69,30558,15203,15355,12.413819621702991
M15,5,21,89,1.5,2.0,asian,367,33.79,1.0206,26.74,1.34,1797,34.06,1.0329,45.35,23.31,2164,1044,1120,5.767837338262476
M5,5,34,55,1.0,2.0,asian,860,35.93,1.1216,31.89,78.83,4176,34.05,1.0327,63.49,61.72,5036,2463,2573,3.448768864177919
M1,5,21,89,1.0,4.0,london,5518,19.41,0.9677,97.74,-91.69,25356,20.44,1.0326,93.01,343.85,30874,15417,15457,9.010636781758112
M1,8,34,89,1.0,3.0,london,3629,23.86,0.941,96.17,-88.36,16441,25.58,1.0325,87.34,347.8,20070,10037,10033,6.663836571998008
M5,13,34,89,1.5,3.0,asian,580,25.52,1.0278,32.39,3.35,2863,25.6,1.0324,46.95,29.61,3443,1706,1737,11.401074644205636
M5,5,34,89,1.5,3.0,asian,820,26.46,1.0796,33.97,42.46,4056,25.59,1.0318,58.98,41.92,4876,2416,2460,11.234536505332239
M5,13,34,89,1.5,4.0,asian,580,20.69,1.0435,41.98,8.69,2863,20.5,1.0316,54.86,15.95,3443,1706,1737,15.10214928841127
M5,5,34,55,1.5,2.0,asian,860,34.53,1.0551,29.89,24.99,4176,34.03,1.0316,56.39,56.97,5036,2463,2573,7.7512311358220805
M1,13,34,55,1.0,2.0,london,3260,33.37,1.0018,71.94,-24.73,14884,34.02,1.0312,79.79,378.94,18144,9063,9081,4.3
M15,5,34,89,1.0,4.0,asian,289,23.88,1.2545,14.08,64.08,1469,20.49,1.0308,61.08,6.89,1758,852,906,5.083560864618885
M1,5,34,89,1.0,3.0,london,4326,24.25,0.9609,94.5,-85.16,19851,25.55,1.0308,88.59,375.5,24177,12059,12118,6.7642139223228686
M1,8,34,55,1.0,2.0,asian,3437,34.27,1.0429,60.45,86.6,16885,34.01,1.0306,71.86,456.11,20322,10151,10171,3.6999999999999997
M1,8,34,89,1.0,4.0,london,3629,18.9,0.9375,97.08,-91.89,16441,20.41,1.0306,96.34,105.26,20070,10037,10033,8.927673143996014
M15,13,34,55,1.5,2.0,asian,222,37.39,1.1942,13.15,27.97,1115,33.99,1.0299,36.13,11.42,1337,649,688,5.916978309648467
M15,8,34,89,1.0,4.0,asian,236,22.03,1.1304,23.3,20.95,1221,20.48,1.0299,55.24,4.74,1457,702,755,5.332395332875772
M1,5,34,89,1.5,3.0,asian,3946,25.52,1.0293,78.06,30.73,19164,25.49,1.0299,86.58,301.13,23110,11454,11656,12.231700562527045
M15,13,34,89,1.5,4.0,asian,206,23.3,1.2152,24.75,34.26,1036,20.46,1.0291,57.6,3.39,1242,612,630,13.416586151368762
M1,5,34,55,1.5,3.0,asian,4138,25.45,1.026,81.12,19.77,20156,25.46,1.0291,88.04,279.13,24294,12061,12233,12.248900963200793
M15,5,34,89,1.0,2.0,asian,289,36.33,1.1413,10.63,25.86,1469,33.97,1.0289,33.92,14.19,1758,852,906,2.5506825938566555
M5,13,34,89,1.0,2.0,london,515,31.65,0.9261,37.26,-26.65,2628,33.94,1.0282,48.24,25.43,3143,1557,1586,7.418071905822463
M1,13,34,89,1.5,3.0,asian,2721,25.62,1.0351,77.82,35.09,13449,25.44,1.0282,82.97,124.27,16170,8055,8115,12.11586270871985
M15,8,34,55,1.5,3.0,asian,251,27.89,1.1602,21.25,28.4,1297,25.52,1.028,42.13,7.82,1548,749,799,8.845930232558139
M15,8,34,89,1.0,2.0,london,228,35.09,1.0811,22.29,10.16,1140,33.95,1.0279,39.98,10.04,1368,639,729,8.916666666666666
M1,13,21,89,1.5,3.0,asian,3454,26.03,1.0572,63.05,154.71,16984,25.44,1.0279,91.23,166.28,20438,10153,10285,12.166200215285253
M1,13,34,89,1.0,4.0,all,8055,20.1,1.0103,90.59,-60.32,38937,20.38,1.0274,98.4,105.3,46992,23747,23245,8.3
