tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,8,21,55,1.0,2.0,asian,933,34.73,1.064,55.85,34.37,4439,33.0,0.9852,79.77,-58.47,5372,2678,2694,3.482632166790767
M5,5,34,55,1.0,2.0,london,784,35.2,1.0866,42.25,43.33,3944,32.99,0.9849,79.6,-54.61,4728,2345,2383,7.0668358714043995
M5,13,34,55,1.0,3.0,all,1673,24.57,0.977,66.55,-41.42,8181,24.7,0.9846,94.92,-88.37,9854,4920,4934,8.298132737974427
M5,8,34,89,1.0,3.0,london,623,24.08,0.9514,55.23,-27.38,3144,24.68,0.9835,73.8,-57.32,3767,1860,1907,12.35115476506504
M5,8,21,89,1.0,2.0,asian,884,33.94,1.0274,48.1,7.4,4232,32.96,0.9834,79.16,-58.86,5116,2562,2554,3.4654417513682567
M5,13,34,89,1.0,4.0,all,1557,18.69,0.9194,79.57,-73.03,7631,19.71,0.9824,96.21,-92.27,9188,4612,4576,11.532215933826729
M5,5,21,89,1.0,2.0,asian,1055,34.03,1.0316,54.2,12.09,5082,32.92,0.9815,81.9,-67.75,6137,3100,3037,3.5656183803161157
M5,13,21,55,1.0,2.0,london,729,35.25,1.089,26.69,41.27,3662,32.91,0.9813,75.28,-56.02,4391,2202,2189,6.983397859257572
M5,13,34,89,1.0,4.0,london,515,17.28,0.8357,68.97,-54.65,2628,19.67,0.981,74.99,-59.71,3143,1557,1586,18.06891504931594
M5,8,34,55,1.0,4.0,london,660,19.55,0.9718,51.63,-24.21,3334,19.68,0.9809,75.66,-68.52,3994,1977,2017,16.902553830746115
M5,5,21,55,1.0,2.0,asian,1104,34.42,1.0497,61.67,28.22,5291,32.89,0.98,82.66,-70.83,6395,3210,3185,3.582736512900704
M5,13,21,89,1.0,3.0,all,2018,24.88,0.9941,61.6,-32.14,9674,24.6,0.9792,98.36,-94.7,11692,5856,5836,8.251778994184056
M5,5,34,89,1.5,2.0,london,748,33.82,1.0222,33.15,3.58,3756,32.83,0.9782,74.16,-60.16,4504,2243,2261,19.884103019538188
M5,8,21,55,1.0,2.0,london,893,32.7,0.9717,44.86,-22.73,4340,32.83,0.978,83.4,-65.63,5233,2619,2614,6.948805656411236
M5,13,34,55,1.5,2.0,all,1673,32.4,0.9584,61.72,-46.95,8181,32.83,0.978,90.83,-86.69,9854,4920,4934,12.898132737974427
M5,5,34,55,1.0,4.0,london,784,20.15,1.0096,49.98,-9.03,3944,19.62,0.9776,83.16,-77.07,4728,2345,2383,17.13468697123519
M5,13,21,89,1.5,3.0,london,682,25.66,1.0375,25.64,9.12,3355,24.47,0.9774,71.43,-65.32,4037,1992,2045,31.47765667574932
M5,13,21,55,1.0,4.0,london,729,19.48,0.9676,60.27,-28.12,3662,19.61,0.9769,79.48,-75.03,4391,2202,2189,16.999612844454564
M5,13,21,55,1.5,2.0,london,729,35.39,1.0955,26.34,45.55,3662,32.8,0.9768,70.25,-60.58,4391,2202,2189,19.999225688909135
M5,13,21,55,1.0,4.0,all,2156,19.53,0.9712,81.4,-59.96,10448,19.61,0.9763,98.8,-98.19,12604,6338,6266,11.21973976515392
M5,5,34,55,1.0,4.0,all,2345,20.04,1.0032,73.71,-33.01,11511,19.6,0.9754,99.19,-98.89,13856,6937,6919,11.166151847575058
M5,13,21,89,1.5,3.0,all,2018,24.53,0.9763,65.21,-48.05,9674,24.5,0.9753,96.96,-95.97,11692,5856,5836,19.513701676359904
M5,8,34,89,1.0,3.0,all,1859,24.21,0.9588,67.18,-57.23,9116,24.52,0.9746,96.68,-95.42,10975,5515,5460,8.333876993166287
M5,8,34,89,1.0,4.0,all,1859,18.77,0.9251,82.03,-77.19,9116,19.57,0.9738,98.52,-97.48,10975,5515,5460,11.416938496583144
M5,8,34,55,1.0,3.0,all,1975,24.35,0.9665,74.64,-54.5,9666,24.49,0.9731,97.41,-96.57,11641,5825,5816,8.266068207198694
M5,8,34,55,1.0,2.0,all,1975,33.11,0.9909,55.48,-27.06,9666,32.7,0.972,96.29,-93.74,11641,5825,5816,5.3
M5,5,34,89,1.0,4.0,all,2229,19.38,0.9621,78.72,-66.95,10961,19.54,0.972,99.3,-98.98,13190,6642,6548,11.3675966641395
M5,13,21,89,1.5,2.0,all,2018,32.36,0.9575,66.23,-54.05,9674,32.69,0.9714,94.66,-93.99,11692,5856,5836,12.851778994184057
M5,8,34,89,1.5,2.0,all,1859,32.97,0.9847,56.84,-31.18,9116,32.66,0.9702,94.35,-93.46,10975,5515,5460,13.083061503416854
M5,13,34,55,1.5,2.0,london,552,33.33,1.0,20.87,-5.34,2816,32.63,0.9699,60.34,-57.12,3368,1670,1698,19.323040380047505
M5,13,21,89,1.0,2.0,all,2018,33.4,1.0037,43.38,-13.98,9674,32.64,0.9695,97.62,-94.72,11692,5856,5836,5.369038658912077
M5,5,34,55,1.0,2.0,all,2345,34.12,1.0363,51.08,38.32,11511,32.64,0.9692,98.5,-97.05,13856,6937,6919,5.31692407621247
M5,5,34,89,1.0,3.0,all,2229,25.21,1.012,53.07,-12.35,10961,24.4,0.9681,98.75,-98.55,13190,6642,6548,8.416899166034876
M5,13,21,55,1.0,3.0,all,2156,24.95,0.9981,75.52,-29.44,10448,24.39,0.9678,98.89,-98.28,12604,6338,6266,8.302634084417646
M5,13,21,55,1.0,2.0,all,2156,34.79,1.0676,53.07,107.77,10448,32.6,0.9675,97.39,-96.37,12604,6338,6266,5.268422722945097
M5,5,34,55,1.5,3.0,all,2345,25.59,1.0321,50.73,23.06,11511,24.36,0.9675,99.39,-98.89,13856,6937,6919,19.333848152424945
M5,5,34,89,1.5,2.0,all,2229,33.78,1.021,45.54,9.1,10961,32.57,0.9663,97.56,-97.17,13190,6642,6548,13.133798332069752
M5,8,34,55,1.5,3.0,all,1975,25.01,1.0014,57.98,-23.85,9666,24.32,0.966,98.48,-97.94,11641,5825,5816,19.315170517996734
